,job_category,state,average_salary,median_salary,observations,Full_state,hovertext,average_total_cost,median_total_cost,avg_salary_after_COL,median_salary_after_COL
41,data analyst,LA,75627.0,77299.0,3,Louisiana,Louisiana<br>Average Salary: 75627.0<br>Observations: 3,31406.057570625,31149.954420000002,44220.942429375005,46149.04558
42,data engineer,LA,90402.0,90402.0,1,Louisiana,Louisiana<br>Average Salary: 90402.0<br>Observations: 1,31406.057570625,31149.954420000002,58995.942429375005,59252.04558
43,data scientist,LA,113644.0,113644.0,1,Louisiana,Louisiana<br>Average Salary: 113644.0<br>Observations: 1,31406.057570625,31149.954420000002,82237.942429375,82494.04558
44,data analyst,MA,88440.0,82132.0,3,Massachusetts,Massachusetts<br>Average Salary: 88440.0<br>Observations: 3,39683.255391428575,39451.0659,48756.744608571425,42680.9341
45,data engineer,MA,95246.16666666667,92000.5,6,Massachusetts,Massachusetts<br>Average Salary: 95246.17<br>Observations: 6,39683.255391428575,39451.0659,55562.9112752381,52549.4341
46,data scientist,MA,116814.93333333333,114397.0,15,Massachusetts,Massachusetts<br>Average Salary: 116814.93<br>Observations: 15,39683.255391428575,39451.0659,77131.67794190475,74945.9341
47,machine learning engineer,MA,120319.63157894737,126627.0,19,Massachusetts,Massachusetts<br>Average Salary: 120319.63<br>Observations: 19,39683.255391428575,39451.0659,80636.37618751879,87175.9341
48,other,MA,80681.0,80681.0,2,Massachusetts,Massachusetts<br>Average Salary: 80681.0<br>Observations: 2,39683.255391428575,39451.0659,40997.744608571425,41229.9341
49,data analyst,MD,78430.28571428571,75000.0,7,Maryland,Maryland<br>Average Salary: 78430.29<br>Observations: 7,33919.96066,32572.5,44510.32505428571,42427.5
50,data engineer,MD,115583.6,103335.0,5,Maryland,Maryland<br>Average Salary: 115583.6<br>Observations: 5,33919.96066,32572.5,81663.63934000001,70762.5
51,data scientist,MD,104973.90909090909,103789.0,11,Maryland,Maryland<br>Average Salary: 104973.91<br>Observations: 11,33919.96066,32572.5,71053.94843090909,71216.5
52,machine learning engineer,MD,85493.4,73338.0,5,Maryland,Maryland<br>Average Salary: 85493.4<br>Observations: 5,33919.96066,32572.5,51573.43934,40765.5
53,data analyst,MI,64170.0,64170.0,2,Michigan,Michigan<br>Average Salary: 64170.0<br>Observations: 2,29075.405493975904,28880.26764,35094.59450602409,35289.73236
